model,predicted_probability,rcs_calibrated_observed_probability,ci95_lower,ci95_upper,valid_bootstrap_curves
LM5_common18,0.0211302118690278,0.0268606539481987,0.0132224794576383,0.046240857682174,2000
LM5_common18,0.0270171410175397,0.0346192453727795,0.0194807512455915,0.0536802195357026,2000
LM5_common18,0.0329040701660516,0.0424159823268917,0.026620469102328,0.0603696097562893,2000
LM5_common18,0.0387909993145635,0.0502378002682458,0.0345191714115839,0.0666805517830815,2000
LM5_common18,0.0446779284630754,0.0580753564412794,0.0429790165503957,0.0726230637993324,2000
LM5_common18,0.0505648576115874,0.065917061673702,0.0521125787190563,0.0793503358937988,2000
LM5_common18,0.0564517867600992,0.0737477364899004,0.061248753773699,0.0855239545056958,2000
LM5_common18,0.0623387159086112,0.0815549821565727,0.0704837843956728,0.0920818544959344,2000
LM5_common18,0.0682256450571231,0.0893289302498958,0.0789637199132237,0.0993740968367583,2000
LM5_common18,0.074112574205635,0.097061664350509,0.0866191665029487,0.1075123783531766,2000
LM5_common18,0.0799995033541469,0.1047468014351163,0.0940302270566344,0.1155987671268311,2000
LM5_common18,0.0858864325026588,0.1123791812568645,0.1010243692233607,0.124152322283895,2000
LM5_common18,0.0917733616511707,0.119954630966909,0.1080710373570921,0.1323856328504599,2000
LM5_common18,0.0976602907996826,0.1274695892058131,0.1151599637961872,0.1404033210866409,2000
LM5_common18,0.1035472199481945,0.1349188713210238,0.1224257832463553,0.1479209182718039,2000
LM5_common18,0.1094341490967064,0.1422966387378233,0.1299415667743471,0.1552867612332888,2000
LM5_common18,0.1153210782452183,0.1495979295374132,0.1375063440052106,0.1624110882483085,2000
LM5_common18,0.1212080073937302,0.1568185659524143,0.1445548734796104,0.1696383151925372,2000
LM5_common18,0.1270949365422421,0.1639550502728478,0.1517222452217295,0.1768357079368163,2000
LM5_common18,0.132981865690754,0.1710044761275389,0.1583723220080633,0.18375485810334,2000
LM5_common18,0.1388687948392659,0.1779644524155168,0.1650250332989986,0.1907659630810504,2000
LM5_common18,0.1447557239877778,0.1848330377433961,0.1716416637786205,0.1977954592221401,2000
LM5_common18,0.1506426531362897,0.191608683660145,0.1780987336117846,0.204543628507925,2000
LM5_common18,0.1565295822848016,0.1982901853119901,0.1840440626424743,0.2115484876853635,2000
LM5_common18,0.1624165114333135,0.2048766383959732,0.1900422170348831,0.2187116446477425,2000
LM5_common18,0.1683034405818254,0.2113674401556058,0.1959650563159392,0.2259513242917238,2000
LM5_common18,0.1741903697303373,0.2177639271931506,0.2014794398471774,0.2328351165799007,2000
LM5_common18,0.1800772988788492,0.2240698297252041,0.2075026652561747,0.239567496215066,2000
LM5_common18,0.1859642280273611,0.2302889175871499,0.2130070161060888,0.2464093077535778,2000
LM5_common18,0.1918511571758731,0.2364248187016255,0.2184910011645363,0.2531190549945281,2000
LM5_common18,0.1977380863243849,0.2424810208697769,0.2240673616394416,0.2594745851980158,2000
LM5_common18,0.2036250154728968,0.2484608748306339,0.2294636505051765,0.2659876884580986,2000
LM5_common18,0.2095119446214088,0.2543675982069274,0.2349411699821917,0.2723601989606542,2000
