analysis_block,threshold,row_type,strategy_or_contrast,metric,estimate_95CI,analysis_label
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + LM5,Alerts per event captured,2.37 (2.29 to 2.46),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + LM5,Net benefit,0.153 (0.144 to 0.162),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + early mean MAP,Alert rate,0.676 (0.667 to 0.686),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + early mean MAP,Sensitivity,0.890 (0.876 to 0.903),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + early mean MAP,PPV,0.344 (0.332 to 0.356),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + early mean MAP,"False-positive alerts per 1,000",443.6 (433.3 to 453.8),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + early mean MAP,Alerts per event captured,2.91 (2.81 to 3.01),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + early mean MAP,Net benefit,0.154 (0.145 to 0.164),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + landmark MAP <65,Alert rate,0.429 (0.418 to 0.439),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + landmark MAP <65,Sensitivity,0.732 (0.714 to 0.750),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + landmark MAP <65,PPV,0.447 (0.431 to 0.463),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + landmark MAP <65,"False-positive alerts per 1,000",237.3 (228.2 to 246.3),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + landmark MAP <65,Alerts per event captured,2.24 (2.16 to 2.32),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + landmark MAP <65,Net benefit,0.150 (0.141 to 0.159),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus early mean MAP,Alert rate,-0.196 (-0.206 to -0.187),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus early mean MAP,Sensitivity,-0.116 (-0.130 to -0.103),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus early mean MAP,PPV,0.077 (0.070 to 0.085),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus early mean MAP,"False-positive alerts per 1,000",-165.6 (-173.8 to -157.1),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus early mean MAP,Alerts per event captured,-0.53 (-0.58 to -0.48),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus early mean MAP,Net benefit,-0.001 (-0.005 to 0.003),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus landmark MAP <65,Alert rate,0.052 (0.046 to 0.057),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus landmark MAP <65,Sensitivity,0.041 (0.033 to 0.051),post-U0 exploratory full-workflow comparison
