analysis_id,display_label,n,events,event_rate,LM5_AUROC,LM5_AUROC_ci_lower,LM5_AUROC_ci_upper,delta_net_benefit_at_015,delta_NB_ci_lower,delta_NB_ci_upper,LM5_absolute_net_benefit_at_015,LM5_absolute_NB_ci_lower,LM5_absolute_NB_ci_upper,analysis_status
locked_u0_composite,Locked U0,7177,1398,0.1947889090149087,0.7136066380147548,0.6983540696293921,0.7288983996680624,-0.001376947602226,-0.006411617175782,0.0038933603258775,0.0790679376111598,0.0707566654918899,0.0871663155996688,locked U0; original frozen patient-bootstrap intervals
landmark_consistent_alternative_composite,Landmark-consistent alternative,7177,1176,0.1638567646649017,0.7596945293698216,0.7446152628769318,0.7751504019125618,0.0173101984279848,0.0132693080018687,0.021236548123499,0.0738224229360129,0.0654295994557778,0.0819642403429255,post-U0 exploratory landmark-definition sensitivity
action_buffer_auc_ge75,Action buffer,7069,642,0.0908190691752723,0.6955758101893927,0.6739085874960535,0.717496694554231,0.0249140821981643,0.021277241976151,0.0283426809682707,0.0012232365007114,-0.0046849125843575,0.0074238805721751,post-U0 exploratory action-buffer sensitivity
