analysis_block,threshold,row_type,strategy_or_contrast,metric,estimate_95CI,analysis_label
Stage-2 fixed threshold,0.15,strategy,LM5 common-18,"False-positive alerts per 1,000",253.9 (243.7 to 264.2),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,strategy,LM5 common-18,Alerts per event captured,3.05 (2.90 to 3.22),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,strategy,LM5 common-18,Net benefit,0.079 (0.071 to 0.087),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,strategy,Early mean MAP model,Alert rate,0.612 (0.601 to 0.624),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,strategy,Early mean MAP model,Sensitivity,0.823 (0.801 to 0.843),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,strategy,Early mean MAP model,PPV,0.262 (0.249 to 0.274),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,strategy,Early mean MAP model,"False-positive alerts per 1,000",452.1 (440.3 to 463.7),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,strategy,Early mean MAP model,Alerts per event captured,3.82 (3.64 to 4.02),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,strategy,Early mean MAP model,Net benefit,0.080 (0.071 to 0.090),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,strategy,Landmark MAP <65 rule,Alert rate,0.316 (0.305 to 0.327),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,strategy,Landmark MAP <65 rule,Sensitivity,0.569 (0.542 to 0.595),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,strategy,Landmark MAP <65 rule,PPV,0.351 (0.331 to 0.370),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,strategy,Landmark MAP <65 rule,"False-positive alerts per 1,000",205.1 (196.0 to 214.6),post-U0 exploratory current-state benchmark
