threshold,contrast,estimate,ci95_lower,ci95_upper,valid_replicates
0.1,LM5_common18_minus_simple_early_mean_map,-0.0020745281996501,-0.0060072298855913,0.0014862291579582,2000
0.1,LM5_common18_minus_current_state_landmark_MAP_lt65,0.0222160296007307,0.0167038223956156,0.0276504419983589,2000
0.15,LM5_common18_minus_simple_early_mean_map,-0.001376947602226,-0.006411617175782,0.0038933603258775,2000
0.15,LM5_common18_minus_current_state_landmark_MAP_lt65,0.0043521379570359,0.0014173134768746,0.0073361391372767,2000
0.2,LM5_common18_minus_simple_early_mean_map,-0.0035878500766336,-0.0086395778180298,0.001498711160652,2000
0.2,LM5_common18_minus_current_state_landmark_MAP_lt65,-0.0017068412985927,-0.0050865612372857,0.0018113417862616,2000
0.25,LM5_common18_minus_simple_early_mean_map,0.0024151223816822,-0.0019982815475361,0.0069202545167432,2000
0.25,LM5_common18_minus_current_state_landmark_MAP_lt65,-0.0038549068784543,-0.0087780409641911,0.0012540058520272,2000
