l2,mean_score,sd_score,valid_folds,converged_folds,selected
0.0,0.45116995116289005,0.00672434677529856,5,5,False
1e-06,0.4511668578019986,0.006726226030685377,5,5,False
1e-05,0.45115803300893537,0.006739380131716098,5,5,True
0.0001,0.4512338547214091,0.006764578716545891,5,5,False
0.001,0.45131032714486397,0.006686510550865773,5,5,False
0.01,0.4517633971864372,0.006312544474528367,5,5,False
0.1,0.45616526840594895,0.005814532075354677,5,5,False
1.0,0.48197765107141216,0.006530010417918374,5,5,False
10.0,0.49931243055545715,0.007112723613233465,5,5,False
100.0,0.5019943321435875,0.007199268611777964,5,5,False
